timestamp,category,app_id,game_name,ccu
2026-02-09T09:14:26.018415+00:00,control,1086940,Baldur's Gate 3,30788
2026-02-09T09:14:26.018415+00:00,new_releases_hype,1808500,ARC Raiders,87997
2026-02-09T09:14:26.018415+00:00,new_releases_hype,2767030,Marvel Rivals,43861
2026-02-09T10:33:39.928145+00:00,giants,730,CS2,902587
2026-02-09T10:33:39.928145+00:00,giants,570,Dota 2,545122
2026-02-09T10:33:39.928145+00:00,giants,578080,PUBG,293249
2026-02-09T10:33:39.928145+00:00,giants,1172470,Apex Legends,65572
2026-02-09T10:33:39.928145+00:00,giants,271590,GTA V,69325
2026-02-09T10:33:39.928145+00:00,live_service,1085660,Destiny 2,6067
2026-02-09T10:33:39.928145+00:00,live_service,252490,Rust,101300
2026-02-09T10:33:39.928145+00:00,live_service,230410,Warframe,52200
2026-02-09T10:33:39.928145+00:00,live_service,1599340,Lost Ark,6362
2026-02-09T10:33:39.928145+00:00,war_politics_adjacent,1938090,Call of Duty HQ,22481
2026-02-09T10:33:39.928145+00:00,war_politics_adjacent,393380,Squad,9119
2026-02-09T10:33:39.928145+00:00,war_politics_adjacent,107410,Arma 3,4843
2026-02-09T10:33:39.928145+00:00,war_politics_adjacent,394360,Hearts of Iron IV,30519
2026-02-09T10:33:39.928145+00:00,control,413150,Stardew Valley,58637
2026-02-09T10:33:39.928145+00:00,control,105600,Terraria,89413
2026-02-09T10:33:39.928145+00:00,control,1145360,Hades,2573
2026-02-09T10:33:39.928145+00:00,control,1086940,Baldur's Gate 3,31386
2026-02-09T10:33:39.928145+00:00,new_releases_hype,1808500,ARC Raiders,89131
2026-02-09T10:33:39.928145+00:00,new_releases_hype,2767030,Marvel Rivals,38897
2026-02-09T11:42:19.067736+00:00,giants,730,CS2,1046480
2026-02-09T11:42:19.067736+00:00,giants,570,Dota 2,609997
2026-02-09T11:42:19.067736+00:00,giants,578080,PUBG,387314
2026-02-09T11:42:19.067736+00:00,giants,1172470,Apex Legends,84771
2026-02-09T11:42:19.067736+00:00,giants,271590,GTA V,78187
2026-02-09T11:42:19.067736+00:00,live_service,1085660,Destiny 2,6525
2026-02-09T11:42:19.067736+00:00,live_service,252490,Rust,116339
2026-02-09T11:42:19.067736+00:00,live_service,230410,Warframe,58222
2026-02-09T11:42:19.067736+00:00,live_service,1599340,Lost Ark,6608
2026-02-09T11:42:19.067736+00:00,war_politics_adjacent,1938090,Call of Duty HQ,25730
2026-02-09T11:42:19.067736+00:00,war_politics_adjacent,393380,Squad,11222
2026-02-09T11:42:19.067736+00:00,war_politics_adjacent,107410,Arma 3,5399
2026-02-09T11:42:19.067736+00:00,war_politics_adjacent,394360,Hearts of Iron IV,33682
2026-02-09T11:42:19.067736+00:00,control,413150,Stardew Valley,68119
2026-02-09T11:42:19.067736+00:00,control,105600,Terraria,102335
